STEP;AI_Temperature
0;21.97
1;22.11
2;22.0
3;21.94
4;22.09
5;21.88
6;22.15
7;21.81
8;21.94
9;21.97
10;22.0
11;21.96
12;21.82
13;21.99
14;22.09
15;22.17
16;22.16
17;22.19
18;21.91
19;21.93
20;22.03
21;22.11
22;22.07
23;22.09
24;21.93
25;22.2
26;21.84
27;22.02
28;22.01
29;22.13
30;22.14
31;21.87
32;21.96
33;22.13
34;21.91
35;22.02
36;22.14
37;21.89
38;22.06
39;21.87
40;22.12
41;22.17
42;21.92
43;21.82
44;22.18
45;22.01
46;22.19
47;22.08
48;21.8
49;21.96
50;22.82
51;23.68
52;24.44
53;25.26
54;26.04
55;26.7
56;27.57
57;28.37
58;29.11
59;29.96
60;30.83
61;31.52
62;32.46
63;33.22
64;33.9
65;34.86
66;35.51
67;36.36
68;37.21
69;37.93
70;38.88
71;39.54
72;40.46
73;41.29
74;41.94
75;42.75
76;43.64
77;44.47
78;45.25
79;46.07
80;46.73
81;47.66
82;48.45
83;49.13
84;49.94
85;50.74
86;51.57
87;52.48
88;53.28
89;54.04
90;54.7
91;55.56
92;56.38
93;57.13
94;57.92
95;58.83
96;59.63
97;60.41
98;61.18
99;62.06
